"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"C6KMP4Z8","journalArticle","1986","Occhetti Viola, Caterina","Il San Siro in Genova: una storia con pietre perdute","Benedictina","","","","","","1986","2014-06-20 13:56:59","2023-02-15 21:15:48","","395-428","","","33","","Be","Il San Siro in Genova","","","","","","","Italian","","","","","PIMS","PER IMS","","","","","Genoa; Mediterranean; Architectural History; 1100s; 1000s; Basilica di San Siro (Genova)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5QJW82K7","book","2011","Christie, Neil","The Fall of the Western Roman Empire: An Archaeological and Historical Perspective","","978-1-84966-337-3","","","","The decline of the Roman Empire has been a subject of fascination and debate for centuries. In this original new work, Neil Christie draws on numerous sources, interweaving the latest archaeological evidence, to reconstruct the period's landscape and events. In the process, he rethinks some of historians' most widely held and long-established views: Was the Empire's disintegration caused primarily by external or internal factors? Why did the Eternal City of Old Rome collapse in the West, while the 'New Rome' of Constantinople endured in the East? What was destroyed and what remained of Roman culture after successive invasions by Vandals, Goths, Huns and other 'barbarians', and what was the impact of the new Christian religion? As Christie expertly demonstrates, the archaeology of the late Roman period reveals intriguing answers to these and other questions. Taking an innovative, interdisciplinary approach that combines traditional historical methods and a unique familiarity with the Empire's physical remnants, he uncovers new aspects of Rome's military struggles, its shifting geography, and the everyday lives of its subjects.","2011","2017-05-30 18:24:43","2023-02-15 20:50:18","","","xi, 306 p.","","","","","The Fall of the Western Roman Empire","Historical Endings","","","","Bloomsbury Academic","London","English","","","","","University of Toronto","DG311 .C634","","","G:\My Drive\Library\Monographs\Christie - 2011 - The Fall of the Western Roman Empire. An Archaeological and Historical Perspective.pdf","","Mediterranean; 500s; 600s; Antiquity; Archaeology; Rome (Lazio); Empires (History); 400s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88VHW7R8","book","2006","Christie, Neil","From Constantine to Charlemagne: An Archaeology of Italy, AD 300–800","","978-1-85928-421-6","","","","This book offers an overview of the archaeological and structural evidence for one of the most vital periods of Italian history, spanning the late Roman and early medieval periods. The chronological scope covers the adoption of Christianity and the emergence of Rome as the seat of Western Christendom, the break-up of the Roman west in the face of internal decay and the settlement of non-Romans and Germanic groups, the impact of Germanic and Byzantine rule on Italy until the rise of Charlemagne and of a Papal State in the later eighth century. Presenting a detailed review and analysis of recent discoveries by archaeologists, historians, art historians, numismatists and architectural historians, Neil Christie identifies the changes brought about by the Church in town and country, the level of change within Italy under Rome before and after occupation by Ostrogoths, Byzantines and Lombards, and reviews wider changes in urbanism, rural exploitation and defence. The emphasis is on human settlement on its varied levels - town, country, fort, refuge - and the assessment of how these evolved and the changes that impacted on them. Too long neglected as a 'Dark Age', this book helps to further illuminate this fascinating and dynamic period of European history.","2006","2017-05-30 18:27:40","2023-02-15 20:48:13","","","xvii, 586 p.","","","","","From Constantine to Charlemagne","","","","","Ashgate Publishing","Aldershot","English","","","","","University of Toronto","DG311 .F76","","","G:\My Drive\Library\Monographs\Christie - 2006 - From Constantine to Charlemagne. An Archaeology of Italy, AD 300–800.pdf","","Mediterranean; 500s; 600s; 700s; Antiquity; Archaeology; Rome (Lazio); 400s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6D9C8F4T","book","1984","Kedar, Benjamin Z.","Crusade and Mission: European Approaches Toward the Muslims","","978-0-608-03756-1","","","","""[Professor Kedar] is concerned with the essential dilemma the Christians faced, should they attempt to convert the infidels or exterminate them by the sword, or was it possible to combine these two approaches and if so how? Amongst those who wrote on the subject, there was no question that Islam should be attacked or undermined; it was not the overall objective which was under discussion but rather the methods which should be used. . . . Professor Kedar has produced a superbly researched discussion of these attitudes . . . there is a degree of sharpness in his discussion of the Mendicants or Ramon Llull . . . which is in many ways refreshing, and he challenges the idea that they represented any real attempt to mitigate the aggressive stance of Medieval Christianity."" -- Hugh Kennedy, History","1984","2013-09-20 00:09:55","2022-05-11 13:53:47","","","xiii, 246 p.","","","","","Crusade and Mission","","","","","Princeton University Press","Princeton","English","","","","","University of Toronto","BV2625 .K34","","","G:\My Drive\Library\Monographs\Kedar - 1984 - Crusade and Mission. European Approaches Toward the Muslims.pdf","","Mediterranean; Islamic History; Crusades (History)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HQ3ZX9SE","book","2004","Gregory I","The Letters of Gregory the Great","","978-0-88844-290-1","","","","This translation of the Registrum epistularum of Gregory the Great is the first complete version in English. All fourteen books of the letters are presented in three volumes: Books 1–4 appear in volume 1, Books 5–9 in the second volume, and Books 10–14 in the concluding volume.","2004","2017-05-30 19:01:11","2023-02-15 21:06:37","","","xxxiv, 962 pp.","","","","","","Mediaeval Sources in Translation","40","","","Pontifical Institute of Mediaeval Studies","Toronto","English","","","","","University of Toronto","BR65 .G53 R4313","Translation of: Registrum epistularum.","","","","Mediterranean; Sources; History of Christianity; 500s; 600s; Papacy (History); Letters (Sources); Latin (Language)","","Martyn, John R. C.","","Martyn, John R. C.","","","","","","","","","","","","","","","","","In three volumes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDZEN77Q","book","1974","Paul the Deacon; Peters, Edward","History of the Lombards","","978-0-8122-7671-8","","","","History of the Lombards, by Paul the Deacon (c. 720-c. 799), is among the most important and oldest accounts of the Germanic nation. The book preserves many ancient myths and popular traditions and draws from sources that are now lost. The history traces the changing fortunes of the Lombards, the last of the migratory Germanic peoples to enter the western part of the old Roman Empire, from their first appearance in the West in the sixth century to the middle of the eighth century. The popularity of Paul the Deacon's book has endured over the centuries and, although there have been numerous translations and editions, this remains the only one in English.","1974","2017-05-30 18:43:50","2023-02-16 04:43:42","","","xxi, 329 p.","","","","","","","","","","University of Pennsylvania Press","Philadelphia","English","","","","","University of Toronto","","Translation of De gestis Langobardorum.","","G:\My Drive\Library\Sources\Paul the Deacon - 1974 - History of the Lombards.pdf","","Mediterranean; Sources; Lombard Kingdom","","","","Foulke, William Dudley","Peters, Edward","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SI7QG8K","journalArticle","1924","Canepa, Antonio","Note storiche sanremesi: ubicazione e successive denominazioni dell'antica Villa Matutiana","Atti della società ligure di storia patria","","2037-7134","","","","1924","2017-09-22 14:07:56","2023-02-15 20:44:31","","101-125","","","1ª serie, 52","","ASLSP","Note storiche sanremesi","","","","","","","Italian","","","","","University of Toronto","DG631 .S6","","","G:\My Drive\Library\Articles\Canepa - 1924 - Note storiche sanremesi ubicazione e successive denominazioni dell'antica Villa Matutiana.pdf","","1400s; Genoa; Mediterranean; Sources; 1500s; Architectural History; 1300s; Geography (Historical); Sanremo (Liguria)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25XDMVST","journalArticle","1990","Christie, Neil","Byzantine Liguria: an imperial province against the Longobards, A.D. 568–643","Papers of the British School at Rome","","0068-2462","10.1017/S0068246200011661","","L'invasione longobarda dell'Italia bizantina nel 568 d.C. restrinse in maniera consistente i territori imperiali costringendoli alle regioni costiere della penisola. La provincia della Liguria, rapidamente privata di legami terrestri con le altre zone imperiali sopravvissute, ha visto una rapida militarizzazione della sua amministrazione, rimedio supremo nella sua lotta per contrastare l'invasione longobarda. Sebbene solo sporadicamente documentata dalle fonti letterarie, la Liguria beneficia di una messe di dati archeologici, soprattutto in forma di repertori tipologici dettagliati da scavi urbani (fra cui Luni, Albenga e Ventimiglia), che forniscono indicazioni importanti sulle trasformazioni sociali presenti in questa fase così poco studiata. Sistemi di popolamento urbano, militare e rurale sono ampiamente esaminati e riportati all'interno di un'intelaiatura politica, militare e amministrativa della provincia e in generale dell'Italia bizantina. In particolare, molta attenzione viene data alle strutture di difesa e che contribuirono alla sopravvivenza della Liguria bizantina fino alla metà del VII secolo d.C.","1990","2014-02-07 18:37:47","2023-02-15 20:48:07","","229-271","","","58","","PBSR","Byzantine Liguria","","","","","","","English","","","","","University of Toronto","DG12 .B85","","","G:\My Drive\Library\Articles\Christie - 1990 - Byzantine Liguria. An imperial province against the Longobards, A.D. 568–643.pdf","","Genoa; Mediterranean; 500s; 600s; Liguria (Italy); Byzantine Empire; Archaeology; Lombard Kingdom","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHPUMGWH","journalArticle","1936","Labò, Mario","San Fruttuoso di Camogli","Rassegna di architettura","","","","","","1936","2018-09-11 03:37:25","2023-02-15 21:11:05","","198-199","","","8","","RA","","","","","","","","Italian","","","","","Columbia","AB R182","","","G:\My Drive\Library\Articles\Labò - 1936 - San Fruttuoso di Camogli.pdf","","Mediterranean; Architectural History; 1100s; 1200s; 1300s; Liguria (Italy); Churches (History)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4R26AZDF","book","1890","Caffaro; Doria, Iacopo; Oberto Cancelliere; Ottobono Scriba; Pane, Ogerio","Annali Genovesi di Caffaro e de suoi continuatori dal MXCIX al MCCXCIII","","","","","","","1890","2014-06-20 14:15:33","2023-02-15 20:42:32","","","5 vols.","","","","","Annali genovesi di Caffaro","Fonti per la storia d'Italia","11–14","","","Istituto storico italiano","Roma","Latin, Italian","","","","","University of Toronto","DG403 .F7","","","G:\My Drive\Library\Sources\Belgrano - 1926 - Annali genovesi di Caffaro e de' suoi continuatori. Dal MXCIX al MCCXCIII. Tomo IV.pdf; G:\My Drive\Library\Sources\Caffaro and Oberto Cancelliere - 1890 - Annali genovesi di Caffaro e de' suoi continuatori. Dal MXCIX al MCCXCIII. Tomo I.pdf; G:\My Drive\Library\Sources\Doria - 1929 - Annali genovesi di Caffaro e de' suoi continuatori. Dal MXCIX al MCCXCIII. Tomo V.pdf; G:\My Drive\Library\Sources\Imperiale di Sant'Angelo - 1923 - Annali genovesi di Caffaro e de' suoi continuatori. Dal MXCIX al MCCXCIII. Tomo III.pdf; G:\My Drive\Library\Sources\Ottobono Scriba and Pane - 1901 - Annali genovesi di Caffaro e de' suoi continuatori. Dal MXCIX al MCCXCIII. Tomo II.pdf","","Genoa; Mediterranean; Sources; Political History; 1100s; 1200s; 1000s; Chronicles","","Belgrano, Luigi Tommaso; Imperiale di Sant'Angelo, Cesare","","","","","","","","","","","","","","","","","","","In five volumes","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CKK3JUDD","book","1613","Grimaldi, Mariano","Santuario dell'alma città di Genova dove si contengono le vite de' Santi protettori e cittadini di essa","","","","","","","1613","2019-05-02 21:14:38","2023-02-15 21:06:57","","","xvi, 380 p.","","","","","Santuario dell'alma città di Genova","","","","","Appresso Giuseppe Pavoni","Genova","Italian","","","","","British Library","","","","G:\My Drive\Library\Sources\Grimaldi - 1613 - Santuario dell'alma città di Genova dove si contengono le vite de' Santi protettori e cittadini di e.pdf","","1400s; Genoa; Mediterranean; 1100s; 1200s; 1300s; 1000s; Saints (History)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63DRAG3X","book","1927","Lanzoni, Francesco","Le diocesi d'Italia dalle origini al principio del secolo VII (an. 604)","","","","","","","1927","2019-05-02 20:59:46","2023-02-15 21:14:06","","","xxiv, 1122 p.","","","","","Le diocesi d'Italia dalle origini al principio del secolo VII","Studi e testi","35","","","F. Lega","Faenza","Italian","","","","","Internet Archive","ark:/13960/t4wh2fq0p","","","G:\My Drive\Library\Monographs\Lanzoni - 1927 - Le diocesi d'Italia dalle origini al principio del secolo VII (an. 604).pdf","","Mediterranean; History of Christianity; 500s; 600s; Papacy (History); Antiquity; 400s; 200s; 300s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YZ7TQRTX","book","1910","Mombrizio, Bonino","Sanctuarium seu Vitae sanctorum","","","","","","","1910","2019-05-02 20:17:54","2023-02-15 21:15:15","","","2 vols.","","","","","","","","","","apud Albertum Fontemoing","Parisiis","Latin","","","","","PIMS","BQX 8211 .M7 IMS","","","G:\My Drive\Library\Sources\Mombrizio - 1910 - Sanctuarium seu Vitae sanctorum. Tomus primus.pdf; G:\My Drive\Library\Sources\Mombrizio - 1910 - Sanctuarium seu Vitae sanctorum. Tomus secundus.pdf","","1400s; Mediterranean; Sources; Hagiography","","","","","","","","","","","","","","","","","","","","","Novam hanc editionem curaverunt duo monachi Solesmenses","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BI2D4NR2","book","2007","Liudprand of Cremona","The Complete Works of Liudprand of Cremona","","978-0-8132-1506-8","","","","","2007","2019-05-02 20:06:44","2022-08-01 18:50:40","","","xi, 296 p.","","","","","","Medieval Texts in Translation","","","","Catholic University of America Press","Washington","English","","","","","University of Toronto","D117.A2 L513 2007 ROBA / OCLC: 86109956","","","G:\My Drive\Library\Sources\Liudprand of Cremona - 2007 - The Complete Works of Liudprand of Cremona.pdf","","Mediterranean; Sources; 900s","","","","Squatriti, Paolo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PP8QHSGP","book","2001","McCormick, Michael","Origins of the European Economy: Communications and Commerce A.D. 300–900","","978-0-521-66102-7","","","","This is the first comprehensive analysis of the economic transition from antiquity to the Middle Ages in over sixty years. It brings fresh evidence to bear on the fall of the Roman empire and the origins of the medieval economy. The book uses new material from recent excavations, and develops a new method for the study of hundreds of travelers to reconstitute the communications infrastructure that conveyed those travelers--ship sailings, overland routes--linking Europe to Africa and Asia, from the time of the later Roman empire to the reign of Charlemagne and beyond.","2001","2019-05-02 19:35:57","2019-05-02 19:39:55","","","xxviii, 1101 p.","","","","","Origins of the European Economy","","","","","Cambridge University Press","Cambridge","English","","","","","University of Toronto","HF 3495 .M33 2001 ROBA","","","G:\My Drive\Library\Monographs\McCormick - 2001 - Origins of the European Economy. Communications and Commerce A.D. 300–900.pdf","","Commerce (History); Mediterranean; Economic History; 500s; 600s; 700s; 800s; 400s; Communications (History)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTPWBAHT","bookSection","2013","Cavallaro, Luisa","Le reliquie di San Fruttuoso e la leggenda della traslazione a Capodimonte","Immagine del medioevo: studi arte medievale per Colette Dufour Bozzo","978-88-6405-443-8","","","","","2013","2019-05-02 19:27:23","2023-02-15 20:47:46","","33-42","","","","","","","Athenaeum","","","","De Ferrari","Genova","Italian","","","","","University of Toronto","N6913 .I46 2013 ROBARTS / OCLC: 891573173","","","","","Genoa; Mediterranean; 700s; Byzantine Empire; Relics (History); San Fruttuoso (Liguria)","","Dagnino, Anna","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHPSTKQX","journalArticle","1876","Promis, Vincenzo","Leggenda e inni di S. Siro, vescovo di Genova","Atti della società ligure di storia patria","","2037-7134","","","","1876","2017-03-23 01:31:54","2021-08-26 20:11:35","","355-383","","4","1ª serie, 10","","ASLSP","Leggenda e inni di S. Siro","","","","","","","Italian, Latin","","","","","University of Toronto","DG631 .S6","","","G:\My Drive\Library\Articles\Promis - 1876 - Leggenda e inni di S. Siro, vescovo di Genova.pdf","","Genoa; Mediterranean; Sources; 1200s; Hagiography; Syrus of Genoa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQGV7SBX","book","1996","Epstein, Steven A.","Genoa and the Genoese, 958–1528","","978-0-8078-6128-8","","","","Set in the middle of the Italian Riviera, Genoa is perhaps best known as the birthplace of Christopher Columbus. But Genoa was also one of medieval Europe's major centers of trade and commerce. In Genoa and the Genoese, 958-1528, Steven Epstein has written the first comprehensive history of the city that traces its transformation from an obscure port into the capital of a small but thriving republic with an extensive overseas empire. In a series of chronological chapters, Epstein bridges six centuries of medieval and Renaissance history by skillfully interweaving the four threads of political events, economic trends, social conditions, and cultural accomplishments. He provides considerable new evidence on social themes and also examines other subjects important to Genoa's development, such as religion, the Crusades, the city's long and combative relations with the Muslim world, the environment, and epidemic disease, giving this book a scope that encompasses the entire Mediterranean. Along with the nobles and merchants who governed the city, Epstein profiles the ordinary men and women of Genoa. Genoa and the Genoese, 958-1528 displays the full richness and eclectic nature of the Genoese people during their most vibrant centuries.","1996","2013-09-11 01:23:12","2019-08-26 16:30:50","","","420 p.","","","","","Genoa and the Genoese","","","","","University of North Carolina Press","Chapel Hill","English","","","","","University of Toronto","DG637 .E67","","","G:\My Drive\Library\Monographs\Epstein - 1996 - Genoa and the Genoese, 958–1528.pdf","","1400s; Genoa; Mediterranean; Slavery; 1500s; Wills (Testaments); 1100s; 1200s; 1300s; Liguria (Italy); Naples (Campania); Caffa; Casa di S. Giorgio; Historiography; Crete (Europe)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KLP6MCB5","book","1976","Niermeyer, Jan Frederik","Mediae Latinitatis lexicon minus: A Medieval Latin-French/English Dictionary","","978-90-04-04792-1","","","","","1976","2019-05-02 21:37:02","2023-07-07 17:08:35","","","xix, 1138 p.","","","","","Mediae Latinitatis lexicon minus","","","","","Brill","Leiden","Latin, French, English","","","","","University of Toronto","PA2364 .N5 1976 / OCLC: 2807854","","","G:\My Drive\Library\Reference materials\Niermeyer - 1976 - Mediae Latinitatis lexicon minus. A Medieval Latin-French-English Dictionary.pdf","","Mediterranean; Dictionaries; Latin (Language)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RH9V698D","book","1968","Negri, Teofilo Ossian de","Storia di Genova","","","","","","","1968","2014-06-20 14:04:35","2023-09-11 19:22:19","","","846 p.","","","","","","","","","","Aldo Martello","Milano","Italian","","","","","University of Toronto","DG636 .D4","A very general survey for a first or second year course. Not so good on sources or specifics.","","","","1400s; Genoa; Mediterranean; 1500s; Political History; 1100s; 1200s; 1300s; 1000s; 1600s; 1700s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K38E5N3A","book","1917","Cambiaso, Domenico","L'anno ecclesiastico e le feste dei santi di Genova nel loro svolgimento storico","","","","","","","1917","2017-09-22 03:39:32","2020-01-17 15:57:46","","","xv, 499 p.","","","","","","Atti della società ligure di storia patria","1ª serie, 48","","","Società ligure di storia patria","Genova","Italian","","","","","University of Toronto","DG631 .S6","","","G:\My Drive\Library\Collections\Cambiaso - 1917 - L'anno ecclesiastico e le feste dei santi di Genova nel loro svolgimento storico.pdf","","1400s; Genoa; Mediterranean; 1500s; Religion (History); 1100s; 1200s; 1300s; 1600s; 1700s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
